"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NZL","PLI","TOT","OECDIDX","A","2020",109,
"NZL","PLI","TOT","OECDIDX","A","2021",121,
"NOR","PLI","TOT","OECDIDX","A","2017",137,
"NOR","PLI","TOT","OECDIDX","A","2018",135,
"NOR","PLI","TOT","OECDIDX","A","2019",132,
"NOR","PLI","TOT","OECDIDX","A","2020",126,
"NOR","PLI","TOT","OECDIDX","A","2021",130,
"POL","PLI","TOT","OECDIDX","A","2017",53,
"POL","PLI","TOT","OECDIDX","A","2018",55,
"POL","PLI","TOT","OECDIDX","A","2019",54,
"POL","PLI","TOT","OECDIDX","A","2020",54,
"POL","PLI","TOT","OECDIDX","A","2021",55,
"PRT","PLI","TOT","OECDIDX","A","2017",75,
"PRT","PLI","TOT","OECDIDX","A","2018",77,
"PRT","PLI","TOT","OECDIDX","A","2019",75,
"PRT","PLI","TOT","OECDIDX","A","2020",76,
"PRT","PLI","TOT","OECDIDX","A","2021",78,
"SVK","PLI","TOT","OECDIDX","A","2017",68,
"SVK","PLI","TOT","OECDIDX","A","2018",71,
"SVK","PLI","TOT","OECDIDX","A","2019",70,
"SVK","PLI","TOT","OECDIDX","A","2020",72,
"SVK","PLI","TOT","OECDIDX","A","2021",74,
"ESP","PLI","TOT","OECDIDX","A","2017",83,
"ESP","PLI","TOT","OECDIDX","A","2018",86,
"ESP","PLI","TOT","OECDIDX","A","2019",83,
"ESP","PLI","TOT","OECDIDX","A","2020",84,
"ESP","PLI","TOT","OECDIDX","A","2021",85,
"SWE","PLI","TOT","OECDIDX","A","2017",120,
"SWE","PLI","TOT","OECDIDX","A","2018",117,
"SWE","PLI","TOT","OECDIDX","A","2019",111,
"SWE","PLI","TOT","OECDIDX","A","2020",112,
"SWE","PLI","TOT","OECDIDX","A","2021",117,
"CHE","PLI","TOT","OECDIDX","A","2017",140,
"CHE","PLI","TOT","OECDIDX","A","2018",138,
"CHE","PLI","TOT","OECDIDX","A","2019",138,
"CHE","PLI","TOT","OECDIDX","A","2020",143,
"CHE","PLI","TOT","OECDIDX","A","2021",139,
"TUR","PLI","TOT","OECDIDX","A","2017",44,
"TUR","PLI","TOT","OECDIDX","A","2018",39,
"TUR","PLI","TOT","OECDIDX","A","2019",40,
"TUR","PLI","TOT","OECDIDX","A","2020",37,
"TUR","PLI","TOT","OECDIDX","A","2021",36,
"GBR","PLI","TOT","OECDIDX","A","2017",102,
"GBR","PLI","TOT","OECDIDX","A","2018",105,
"GBR","PLI","TOT","OECDIDX","A","2019",102,
"GBR","PLI","TOT","OECDIDX","A","2020",104,
"GBR","PLI","TOT","OECDIDX","A","2021",110,
"USA","PLI","TOT","OECDIDX","A","2017",116,
"USA","PLI","TOT","OECDIDX","A","2018",115,
"USA","PLI","TOT","OECDIDX","A","2019",117,
"USA","PLI","TOT","OECDIDX","A","2020",118,
"USA","PLI","TOT","OECDIDX","A","2021",115,
"BRA","PLI","TOT","OECDIDX","A","2017",79,
"BRA","PLI","TOT","OECDIDX","A","2018",70,
"BRA","PLI","TOT","OECDIDX","A","2019",67,
"BRA","PLI","TOT","OECDIDX","A","2020",54,
"BRA","PLI","TOT","OECDIDX","A","2021",54,
"CHL","PLI","TOT","OECDIDX","A","2017",71,
"CHL","PLI","TOT","OECDIDX","A","2018",71,
"CHL","PLI","TOT","OECDIDX","A","2019",68,
"CHL","PLI","TOT","OECDIDX","A","2020",62,
"CHL","PLI","TOT","OECDIDX","A","2021",65,
"CHN","PLI","TOT","OECDIDX","A","2017",72,
"CHN","PLI","TOT","OECDIDX","A","2018",73,
"CHN","PLI","TOT","OECDIDX","A","2019",71,
"CHN","PLI","TOT","OECDIDX","A","2020",71,
"CHN","PLI","TOT","OECDIDX","A","2021",74,
"EST","PLI","TOT","OECDIDX","A","2017",70,
"EST","PLI","TOT","OECDIDX","A","2018",73,
"EST","PLI","TOT","OECDIDX","A","2019",72,
"EST","PLI","TOT","OECDIDX","A","2020",72,
"EST","PLI","TOT","OECDIDX","A","2021",74,
"IND","PLI","TOT","OECDIDX","A","2017",37,
"IND","PLI","TOT","OECDIDX","A","2018",35,
"IND","PLI","TOT","OECDIDX","A","2019",35,
"IND","PLI","TOT","OECDIDX","A","2020",35,
"IND","PLI","TOT","OECDIDX","A","2021",36,
"IDN","PLI","TOT","OECDIDX","A","2017",41,
"IDN","PLI","TOT","OECDIDX","A","2018",38,
"IDN","PLI","TOT","OECDIDX","A","2019",39,
"IDN","PLI","TOT","OECDIDX","A","2020",38,
"IDN","PLI","TOT","OECDIDX","A","2021",38,
"ISR","PLI","TOT","OECDIDX","A","2017",121,
"ISR","PLI","TOT","OECDIDX","A","2018",121,
"ISR","PLI","TOT","OECDIDX","A","2019",128,
"ISR","PLI","TOT","OECDIDX","A","2020",131,
"ISR","PLI","TOT","OECDIDX","A","2021",135,
"RUS","PLI","TOT","OECDIDX","A","2017",48,
"RUS","PLI","TOT","OECDIDX","A","2018",45,
"RUS","PLI","TOT","OECDIDX","A","2019",45,
"RUS","PLI","TOT","OECDIDX","A","2020",40,
"RUS","PLI","TOT","OECDIDX","A","2021",43,
"SVN","PLI","TOT","OECDIDX","A","2017",75,
"SVN","PLI","TOT","OECDIDX","A","2018",77,
"SVN","PLI","TOT","OECDIDX","A","2019",74,
"SVN","PLI","TOT","OECDIDX","A","2020",75,
"SVN","PLI","TOT","OECDIDX","A","2021",77,
"ZAF","PLI","TOT","OECDIDX","A","2017",56,
"ZAF","PLI","TOT","OECDIDX","A","2018",57,
"ZAF","PLI","TOT","OECDIDX","A","2019",54,
"ZAF","PLI","TOT","OECDIDX","A","2020",50,
"ZAF","PLI","TOT","OECDIDX","A","2021",55,
"OECD","PLI","TOT","OECDIDX","A","2017",100,
"OECD","PLI","TOT","OECDIDX","A","2018",100,
"OECD","PLI","TOT","OECDIDX","A","2019",100,
"OECD","PLI","TOT","OECDIDX","A","2020",100,
"OECD","PLI","TOT","OECDIDX","A","2021",100,
"EA18","PLI","TOT","OECDIDX","A","2017",94,
"EA18","PLI","TOT","OECDIDX","A","2018",97,
"EA18","PLI","TOT","OECDIDX","A","2019",93,
"EA18","PLI","TOT","OECDIDX","A","2020",95,
"EA18","PLI","TOT","OECDIDX","A","2021",96,
"COL","PLI","TOT","OECDIDX","A","2017",52,
"COL","PLI","TOT","OECDIDX","A","2018",51,
"COL","PLI","TOT","OECDIDX","A","2019",48,
"COL","PLI","TOT","OECDIDX","A","2020",42,
"COL","PLI","TOT","OECDIDX","A","2021",42,
"LTU","PLI","TOT","OECDIDX","A","2017",58,
"LTU","PLI","TOT","OECDIDX","A","2018",60,
"LTU","PLI","TOT","OECDIDX","A","2019",59,
"LTU","PLI","TOT","OECDIDX","A","2020",61,
"LTU","PLI","TOT","OECDIDX","A","2021",63,
"LVA","PLI","TOT","OECDIDX","A","2017",63,
"LVA","PLI","TOT","OECDIDX","A","2018",66,
"LVA","PLI","TOT","OECDIDX","A","2019",66,
"LVA","PLI","TOT","OECDIDX","A","2020",66,
"LVA","PLI","TOT","OECDIDX","A","2021",69,
"EU27","PLI","TOT","OECDIDX","A","2017",90,
"EU27","PLI","TOT","OECDIDX","A","2018",92,
"EU27","PLI","TOT","OECDIDX","A","2019",89,
"EU27","PLI","TOT","OECDIDX","A","2020",90,
"EU27","PLI","TOT","OECDIDX","A","2021",91,
"CRI","PLI","TOT","OECDIDX","A","2017",70,
"CRI","PLI","TOT","OECDIDX","A","2018",67,
"CRI","PLI","TOT","OECDIDX","A","2019",66,
"CRI","PLI","TOT","OECDIDX","A","2020",64,
"CRI","PLI","TOT","OECDIDX","A","2021",62,
