"Unfall mit Getöteten";"Nidwalden";"Hauptstrasse";"Ausserorts";1;0
"Unfall mit Getöteten";"Nidwalden";"Hauptstrasse";"Innerorts";0;1
"Unfall mit Getöteten";"Nidwalden";"Nebenstrasse";"Ausserorts";0;0
"Unfall mit Getöteten";"Nidwalden";"Nebenstrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Nidwalden";"Andere";"Ausserorts";0;0
"Unfall mit Getöteten";"Nidwalden";"Andere";"Innerorts";0;0
"Unfall mit Getöteten";"Glarus";"Autobahn";"Ausserorts";0;0
"Unfall mit Getöteten";"Glarus";"Autobahn";"Innerorts";0;0
"Unfall mit Getöteten";"Glarus";"Autobahnnebenanlage";"Ausserorts";0;0
"Unfall mit Getöteten";"Glarus";"Autobahnnebenanlage";"Innerorts";0;0
"Unfall mit Getöteten";"Glarus";"Autostrasse";"Ausserorts";0;0
"Unfall mit Getöteten";"Glarus";"Autostrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Glarus";"Hauptstrasse";"Ausserorts";0;0
"Unfall mit Getöteten";"Glarus";"Hauptstrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Glarus";"Nebenstrasse";"Ausserorts";0;0
"Unfall mit Getöteten";"Glarus";"Nebenstrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Glarus";"Andere";"Ausserorts";0;0
"Unfall mit Getöteten";"Glarus";"Andere";"Innerorts";0;0
"Unfall mit Getöteten";"Zug";"Autobahn";"Ausserorts";0;0
"Unfall mit Getöteten";"Zug";"Autobahn";"Innerorts";0;0
"Unfall mit Getöteten";"Zug";"Autobahnnebenanlage";"Ausserorts";0;0
"Unfall mit Getöteten";"Zug";"Autobahnnebenanlage";"Innerorts";0;0
"Unfall mit Getöteten";"Zug";"Autostrasse";"Ausserorts";0;0
"Unfall mit Getöteten";"Zug";"Autostrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Zug";"Hauptstrasse";"Ausserorts";0;0
"Unfall mit Getöteten";"Zug";"Hauptstrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Zug";"Nebenstrasse";"Ausserorts";1;2
"Unfall mit Getöteten";"Zug";"Nebenstrasse";"Innerorts";1;0
"Unfall mit Getöteten";"Zug";"Andere";"Ausserorts";0;0
"Unfall mit Getöteten";"Zug";"Andere";"Innerorts";0;0
"Unfall mit Getöteten";"Fribourg / Freiburg";"Autobahn";"Ausserorts";0;1
"Unfall mit Getöteten";"Fribourg / Freiburg";"Autobahn";"Innerorts";0;0
"Unfall mit Getöteten";"Fribourg / Freiburg";"Autobahnnebenanlage";"Ausserorts";0;0
"Unfall mit Getöteten";"Fribourg / Freiburg";"Autobahnnebenanlage";"Innerorts";0;0
"Unfall mit Getöteten";"Fribourg / Freiburg";"Autostrasse";"Ausserorts";0;0
"Unfall mit Getöteten";"Fribourg / Freiburg";"Autostrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Fribourg / Freiburg";"Hauptstrasse";"Ausserorts";3;4
"Unfall mit Getöteten";"Fribourg / Freiburg";"Hauptstrasse";"Innerorts";2;0
"Unfall mit Getöteten";"Fribourg / Freiburg";"Nebenstrasse";"Ausserorts";2;0
"Unfall mit Getöteten";"Fribourg / Freiburg";"Nebenstrasse";"Innerorts";2;1
"Unfall mit Getöteten";"Fribourg / Freiburg";"Andere";"Ausserorts";0;0
"Unfall mit Getöteten";"Fribourg / Freiburg";"Andere";"Innerorts";1;0
"Unfall mit Getöteten";"Solothurn";"Autobahn";"Ausserorts";1;1
"Unfall mit Getöteten";"Solothurn";"Autobahn";"Innerorts";0;0
"Unfall mit Getöteten";"Solothurn";"Autobahnnebenanlage";"Ausserorts";0;0
"Unfall mit Getöteten";"Solothurn";"Autobahnnebenanlage";"Innerorts";0;0
"Unfall mit Getöteten";"Solothurn";"Autostrasse";"Ausserorts";0;0
"Unfall mit Getöteten";"Solothurn";"Autostrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Solothurn";"Hauptstrasse";"Ausserorts";1;0
"Unfall mit Getöteten";"Solothurn";"Hauptstrasse";"Innerorts";2;3
"Unfall mit Getöteten";"Solothurn";"Nebenstrasse";"Ausserorts";0;2
"Unfall mit Getöteten";"Solothurn";"Nebenstrasse";"Innerorts";0;1
"Unfall mit Getöteten";"Solothurn";"Andere";"Ausserorts";0;0
"Unfall mit Getöteten";"Solothurn";"Andere";"Innerorts";1;1
"Unfall mit Getöteten";"Basel-Stadt";"Autobahn";"Ausserorts";0;0
"Unfall mit Getöteten";"Basel-Stadt";"Autobahn";"Innerorts";0;0
"Unfall mit Getöteten";"Basel-Stadt";"Autobahnnebenanlage";"Ausserorts";0;0
"Unfall mit Getöteten";"Basel-Stadt";"Autobahnnebenanlage";"Innerorts";0;0
"Unfall mit Getöteten";"Basel-Stadt";"Autostrasse";"Ausserorts";0;0
"Unfall mit Getöteten";"Basel-Stadt";"Autostrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Basel-Stadt";"Hauptstrasse";"Ausserorts";0;0
"Unfall mit Getöteten";"Basel-Stadt";"Hauptstrasse";"Innerorts";0;1
"Unfall mit Getöteten";"Basel-Stadt";"Nebenstrasse";"Ausserorts";0;0
"Unfall mit Getöteten";"Basel-Stadt";"Nebenstrasse";"Innerorts";2;3
"Unfall mit Getöteten";"Basel-Stadt";"Andere";"Ausserorts";0;0
"Unfall mit Getöteten";"Basel-Stadt";"Andere";"Innerorts";1;1
"Unfall mit Getöteten";"Basel-Landschaft";"Autobahn";"Ausserorts";0;2
"Unfall mit Getöteten";"Basel-Landschaft";"Autobahn";"Innerorts";0;0
"Unfall mit Getöteten";"Basel-Landschaft";"Autobahnnebenanlage";"Ausserorts";0;0
"Unfall mit Getöteten";"Basel-Landschaft";"Autobahnnebenanlage";"Innerorts";0;0
"Unfall mit Getöteten";"Basel-Landschaft";"Autostrasse";"Ausserorts";1;0
"Unfall mit Getöteten";"Basel-Landschaft";"Autostrasse";"Innerorts";0;0
"Unfall mit Getöteten";"Basel-Landschaft";"Hauptstrasse";"Ausserorts";1;0
"Unfall mit Getöteten";"Basel-Landschaft";"Hauptstrasse";"Innerorts";0;1
